territory_code_full,territory_code_numeric,territory_code_ine,name,level,level_code,parent_code,parent_code_numeric,parent_name,district_code,district_name,region
LOCAL-050600,050600,50600,Oleiros,concelho,6,LOCAL-050000,050000,Castelo Branco,LOCAL-050000,Castelo Branco,Centro
LOCAL-050700,050700,50700,Penamacor,concelho,6,LOCAL-050000,050000,Castelo Branco,LOCAL-050000,Castelo Branco,Centro
LOCAL-050800,050800,50800,Proença-a-Nova,concelho,6,LOCAL-050000,050000,Castelo Branco,LOCAL-050000,Castelo Branco,Centro
LOCAL-050900,050900,50900,Sertã,concelho,6,LOCAL-050000,050000,Castelo Branco,LOCAL-050000,Castelo Branco,Centro
LOCAL-051100,051100,51100,Vila Velha de Ródão,concelho,6,LOCAL-050000,050000,Castelo Branco,LOCAL-050000,Castelo Branco,Centro
LOCAL-051000,051000,51000,Vila de Rei,concelho,6,LOCAL-050000,050000,Castelo Branco,LOCAL-050000,Castelo Branco,Centro
LOCAL-060100,060100,60100,Arganil,concelho,6,LOCAL-060000,060000,Coimbra,LOCAL-060000,Coimbra,Centro
LOCAL-060200,060200,60200,Cantanhede,concelho,6,LOCAL-060000,060000,Coimbra,LOCAL-060000,Coimbra,Centro
LOCAL-060300,060300,60300,Coimbra,concelho,6,LOCAL-060000,060000,Coimbra,LOCAL-060000,Coimbra,Centro
LOCAL-060400,060400,60400,Condeixa-a-Nova,concelho,6,LOCAL-060000,060000,Coimbra,LOCAL-060000,Coimbra,Centro
LOCAL-060500,060500,60500,Figueira da Foz,concelho,6,LOCAL-060000,060000,Coimbra,LOCAL-060000,Coimbra,Centro
LOCAL-060600,060600,60600,Góis,concelho,6,LOCAL-060000,060000,Coimbra,LOCAL-060000,Coimbra,Centro
LOCAL-060700,060700,60700,Lousã,concelho,6,LOCAL-060000,060000,Coimbra,LOCAL-060000,Coimbra,Centro
LOCAL-060800,060800,60800,Mira,concelho,6,LOCAL-060000,060000,Coimbra,LOCAL-060000,Coimbra,Centro
LOCAL-060900,060900,60900,Miranda do Corvo,concelho,6,LOCAL-060000,060000,Coimbra,LOCAL-060000,Coimbra,Centro
LOCAL-061000,061000,61000,Montemor-o-Velho,concelho,6,LOCAL-060000,060000,Coimbra,LOCAL-060000,Coimbra,Centro
LOCAL-061100,061100,61100,Oliveira do Hospital,concelho,6,LOCAL-060000,060000,Coimbra,LOCAL-060000,Coimbra,Centro
LOCAL-061200,061200,61200,Pampilhosa da Serra,concelho,6,LOCAL-060000,060000,Coimbra,LOCAL-060000,Coimbra,Centro
LOCAL-061300,061300,61300,Penacova,concelho,6,LOCAL-060000,060000,Coimbra,LOCAL-060000,Coimbra,Centro
LOCAL-061400,061400,61400,Penela,concelho,6,LOCAL-060000,060000,Coimbra,LOCAL-060000,Coimbra,Centro
LOCAL-061500,061500,61500,Soure,concelho,6,LOCAL-060000,060000,Coimbra,LOCAL-060000,Coimbra,Centro
LOCAL-061600,061600,61600,Tábua,concelho,6,LOCAL-060000,060000,Coimbra,LOCAL-060000,Coimbra,Centro
LOCAL-061700,061700,61700,Vila Nova de Poiares,concelho,6,LOCAL-060000,060000,Coimbra,LOCAL-060000,Coimbra,Centro
LOCAL-080100,080100,80100,Albufeira,concelho,6,LOCAL-080000,080000,Faro,LOCAL-080000,Faro,Algarve
LOCAL-080200,080200,80200,Alcoutim,concelho,6,LOCAL-080000,080000,Faro,LOCAL-080000,Faro,Algarve
LOCAL-080300,080300,80300,Aljezur,concelho,6,LOCAL-080000,080000,Faro,LOCAL-080000,Faro,Algarve
LOCAL-080400,080400,80400,Castro Marim,concelho,6,LOCAL-080000,080000,Faro,LOCAL-080000,Faro,Algarve
LOCAL-080500,080500,80500,Faro,concelho,6,LOCAL-080000,080000,Faro,LOCAL-080000,Faro,Algarve
LOCAL-080600,080600,80600,Lagoa,concelho,6,LOCAL-080000,080000,Faro,LOCAL-080000,Faro,Algarve
LOCAL-080700,080700,80700,Lagos,concelho,6,LOCAL-080000,080000,Faro,LOCAL-080000,Faro,Algarve
LOCAL-080800,080800,80800,Loulé,concelho,6,LOCAL-080000,080000,Faro,LOCAL-080000,Faro,Algarve
LOCAL-080900,080900,80900,Monchique,concelho,6,LOCAL-080000,080000,Faro,LOCAL-080000,Faro,Algarve
LOCAL-081000,081000,81000,Olhão,concelho,6,LOCAL-080000,080000,Faro,LOCAL-080000,Faro,Algarve
LOCAL-081100,081100,81100,Portimão,concelho,6,LOCAL-080000,080000,Faro,LOCAL-080000,Faro,Algarve
LOCAL-081300,081300,81300,Silves,concelho,6,LOCAL-080000,080000,Faro,LOCAL-080000,Faro,Algarve
LOCAL-081200,081200,81200,São Brás de Alportel,concelho,6,LOCAL-080000,080000,Faro,LOCAL-080000,Faro,Algarve
LOCAL-081400,081400,81400,Tavira,concelho,6,LOCAL-080000,080000,Faro,LOCAL-080000,Faro,Algarve
LOCAL-081600,081600,81600,Vila Real de Santo António,concelho,6,LOCAL-080000,080000,Faro,LOCAL-080000,Faro,Algarve
LOCAL-081500,081500,81500,Vila do Bispo,concelho,6,LOCAL-080000,080000,Faro,LOCAL-080000,Faro,Algarve
LOCAL-090100,090100,90100,Aguiar da Beira,concelho,6,LOCAL-090000,090000,Guarda,LOCAL-090000,Guarda,Centro
LOCAL-090200,090200,90200,Almeida,concelho,6,LOCAL-090000,090000,Guarda,LOCAL-090000,Guarda,Centro
LOCAL-090300,090300,90300,Celorico da Beira,concelho,6,LOCAL-090000,090000,Guarda,LOCAL-090000,Guarda,Centro
LOCAL-090400,090400,90400,Figueira de Castelo Rodrigo,concelho,6,LOCAL-090000,090000,Guarda,LOCAL-090000,Guarda,Centro
LOCAL-090500,090500,90500,Fornos de Algodres,concelho,6,LOCAL-090000,090000,Guarda,LOCAL-090000,Guarda,Centro
LOCAL-090600,090600,90600,Gouveia,concelho,6,LOCAL-090000,090000,Guarda,LOCAL-090000,Guarda,Centro
LOCAL-090700,090700,90700,Guarda,concelho,6,LOCAL-090000,090000,Guarda,LOCAL-090000,Guarda,Centro
