municipality_code,municipality_name,district_name,region
LOCAL-181600,São Pedro do Sul,Viseu,Centro
LOCAL-181900,Tabuaço,Viseu,Centro
LOCAL-182000,Tarouca,Viseu,Centro
LOCAL-182100,Tondela,Viseu,Centro
LOCAL-182200,Vila Nova de Paiva,Viseu,Centro
LOCAL-182300,Viseu,Viseu,Centro
LOCAL-182400,Vouzela,Viseu,Centro
LOCAL-070100,Alandroal,Évora,Alentejo
LOCAL-070200,Arraiolos,Évora,Alentejo
LOCAL-070300,Borba,Évora,Alentejo
LOCAL-070400,Estremoz,Évora,Alentejo
LOCAL-070600,Montemor-o-Novo,Évora,Alentejo
LOCAL-070700,Mora,Évora,Alentejo
LOCAL-070800,Mourão,Évora,Alentejo
LOCAL-070900,Portel,Évora,Alentejo
LOCAL-071000,Redondo,Évora,Alentejo
LOCAL-071100,Reguengos de Monsaraz,Évora,Alentejo
LOCAL-071200,Vendas Novas,Évora,Alentejo
LOCAL-071300,Viana do Alentejo,Évora,Alentejo
LOCAL-071400,Vila Viçosa,Évora,Alentejo
LOCAL-070500,Évora,Évora,Alentejo
