territory_code_full,territory_code_numeric,territory_code_ine,name,level,level_code,district_code,district_name,municipality_code,municipality_name,parish_code,parish_name,region
LOCAL-060318,060318,060318,Santo António dos Olivais,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060300,Coimbra,LOCAL-060318,Santo António dos Olivais,Centro
LOCAL-060339,060339,060339,Souselas e Botão,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060300,Coimbra,LOCAL-060339,Souselas e Botão,Centro
LOCAL-060320,060320,060320,São João do Campo,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060300,Coimbra,LOCAL-060320,São João do Campo,Centro
LOCAL-060337,060337,060337,São Martinho de Árvore e Lamarosa,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060300,Coimbra,LOCAL-060337,São Martinho de Árvore e Lamarosa,Centro
LOCAL-060338,060338,060338,São Martinho do Bispo e Ribeira de Frades,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060300,Coimbra,LOCAL-060338,São Martinho do Bispo e Ribeira de Frades,Centro
LOCAL-060324,060324,060324,São Silvestre,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060300,Coimbra,LOCAL-060324,São Silvestre,Centro
LOCAL-060334,060334,060334,"Sé Nova, Santa Cruz, Almedina e São Bartolomeu",freguesia,7,LOCAL-060000,Coimbra,LOCAL-060300,Coimbra,LOCAL-060334,"Sé Nova, Santa Cruz, Almedina e São Bartolomeu",Centro
LOCAL-060340,060340,060340,"Taveiro, Ameal e Arzila",freguesia,7,LOCAL-060000,Coimbra,LOCAL-060300,Coimbra,LOCAL-060340,"Taveiro, Ameal e Arzila",Centro
LOCAL-060329,060329,060329,Torres do Mondego,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060300,Coimbra,LOCAL-060329,Torres do Mondego,Centro
LOCAL-060341,060341,060341,Trouxemil e Torre de Vilela,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060300,Coimbra,LOCAL-060341,Trouxemil e Torre de Vilela,Centro
LOCAL-060401,060401,060401,Anobra,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060400,Condeixa-a-Nova,LOCAL-060401,Anobra,Centro
LOCAL-060411,060411,060411,Condeixa-a-Velha e Condeixa-a-Nova,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060400,Condeixa-a-Nova,LOCAL-060411,Condeixa-a-Velha e Condeixa-a-Nova,Centro
LOCAL-060406,060406,060406,Ega,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060400,Condeixa-a-Nova,LOCAL-060406,Ega,Centro
LOCAL-060407,060407,060407,Furadouro,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060400,Condeixa-a-Nova,LOCAL-060407,Furadouro,Centro
LOCAL-060412,060412,060412,Sebal e Belide,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060400,Condeixa-a-Nova,LOCAL-060412,Sebal e Belide,Centro
LOCAL-060413,060413,060413,Vila Seca e Bem da Fé,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060400,Condeixa-a-Nova,LOCAL-060413,Vila Seca e Bem da Fé,Centro
LOCAL-060410,060410,060410,Zambujal,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060400,Condeixa-a-Nova,LOCAL-060410,Zambujal,Centro
LOCAL-060519,060519,060519,Alhadas,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060500,Figueira da Foz,LOCAL-060519,Alhadas,Centro
LOCAL-060502,060502,060502,Alqueidão,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060500,Figueira da Foz,LOCAL-060502,Alqueidão,Centro
LOCAL-060515,060515,060515,Bom Sucesso,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060500,Figueira da Foz,LOCAL-060515,Bom Sucesso,Centro
LOCAL-060520,060520,060520,Buarcos e São Julião,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060500,Figueira da Foz,LOCAL-060520,Buarcos e São Julião,Centro
LOCAL-060521,060521,060521,Ferreira-a-Nova,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060500,Figueira da Foz,LOCAL-060521,Ferreira-a-Nova,Centro
LOCAL-060522,060522,060522,Lavos,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060500,Figueira da Foz,LOCAL-060522,Lavos,Centro
LOCAL-060507,060507,060507,Maiorca,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060500,Figueira da Foz,LOCAL-060507,Maiorca,Centro
LOCAL-060508,060508,060508,Marinha das Ondas,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060500,Figueira da Foz,LOCAL-060508,Marinha das Ondas,Centro
LOCAL-060518,060518,060518,Moinhos da Gândara,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060500,Figueira da Foz,LOCAL-060518,Moinhos da Gândara,Centro
LOCAL-060523,060523,060523,Paião,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060500,Figueira da Foz,LOCAL-060523,Paião,Centro
LOCAL-060524,060524,060524,Quiaios,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060500,Figueira da Foz,LOCAL-060524,Quiaios,Centro
LOCAL-060514,060514,060514,São Pedro,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060500,Figueira da Foz,LOCAL-060514,São Pedro,Centro
LOCAL-060512,060512,060512,Tavarede,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060500,Figueira da Foz,LOCAL-060512,Tavarede,Centro
LOCAL-060513,060513,060513,Vila Verde,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060500,Figueira da Foz,LOCAL-060513,Vila Verde,Centro
LOCAL-060601,060601,060601,Alvares,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060600,Góis,LOCAL-060601,Alvares,Centro
LOCAL-060606,060606,060606,Cadafaz e Colmeal,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060600,Góis,LOCAL-060606,Cadafaz e Colmeal,Centro
LOCAL-060604,060604,060604,Góis,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060600,Góis,LOCAL-060604,Góis,Centro
LOCAL-060605,060605,060605,Vila Nova do Ceira,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060600,Góis,LOCAL-060605,Vila Nova do Ceira,Centro
LOCAL-060707,060707,060707,Foz de Arouce e Casal de Ermio,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060700,Lousã,LOCAL-060707,Foz de Arouce e Casal de Ermio,Centro
LOCAL-060706,060706,060706,Gândaras,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060700,Lousã,LOCAL-060706,Gândaras,Centro
LOCAL-060708,060708,060708,Lousã e Vilarinho,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060700,Lousã,LOCAL-060708,Lousã e Vilarinho,Centro
LOCAL-060704,060704,060704,Serpins,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060700,Lousã,LOCAL-060704,Serpins,Centro
LOCAL-060803,060803,060803,Carapelhos,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060800,Mira,LOCAL-060803,Carapelhos,Centro
LOCAL-060801,060801,060801,Mira,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060800,Mira,LOCAL-060801,Mira,Centro
LOCAL-060804,060804,060804,Praia de Mira,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060800,Mira,LOCAL-060804,Praia de Mira,Centro
LOCAL-060802,060802,060802,Seixo,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060800,Mira,LOCAL-060802,Seixo,Centro
LOCAL-060901,060901,060901,Lamas,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060900,Miranda do Corvo,LOCAL-060901,Lamas,Centro
LOCAL-060902,060902,060902,Miranda do Corvo,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060900,Miranda do Corvo,LOCAL-060902,Miranda do Corvo,Centro
LOCAL-060906,060906,060906,Semide e Rio Vide,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060900,Miranda do Corvo,LOCAL-060906,Semide e Rio Vide,Centro
LOCAL-060905,060905,060905,Vila Nova,freguesia,7,LOCAL-060000,Coimbra,LOCAL-060900,Miranda do Corvo,LOCAL-060905,Vila Nova,Centro
LOCAL-061015,061015,061015,"Abrunheira, Verride e Vila Nova da Barca",freguesia,7,LOCAL-060000,Coimbra,LOCAL-061000,Montemor-o-Velho,LOCAL-061015,"Abrunheira, Verride e Vila Nova da Barca",Centro
LOCAL-061002,061002,061002,Arazede,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061000,Montemor-o-Velho,LOCAL-061002,Arazede,Centro
LOCAL-061003,061003,061003,Carapinheira,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061000,Montemor-o-Velho,LOCAL-061003,Carapinheira,Centro
LOCAL-061014,061014,061014,Ereira,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061000,Montemor-o-Velho,LOCAL-061014,Ereira,Centro
LOCAL-061005,061005,061005,Liceia,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061000,Montemor-o-Velho,LOCAL-061005,Liceia,Centro
LOCAL-061006,061006,061006,Meãs do Campo,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061000,Montemor-o-Velho,LOCAL-061006,Meãs do Campo,Centro
LOCAL-061016,061016,061016,Montemor-o-Velho e Gatões,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061000,Montemor-o-Velho,LOCAL-061016,Montemor-o-Velho e Gatões,Centro
LOCAL-061008,061008,061008,Pereira,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061000,Montemor-o-Velho,LOCAL-061008,Pereira,Centro
LOCAL-061009,061009,061009,Santo Varão,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061000,Montemor-o-Velho,LOCAL-061009,Santo Varão,Centro
LOCAL-061010,061010,061010,Seixo de Gatões,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061000,Montemor-o-Velho,LOCAL-061010,Seixo de Gatões,Centro
LOCAL-061011,061011,061011,Tentúgal,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061000,Montemor-o-Velho,LOCAL-061011,Tentúgal,Centro
LOCAL-061101,061101,061101,Aldeia das Dez,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061100,Oliveira do Hospital,LOCAL-061101,Aldeia das Dez,Centro
LOCAL-061102,061102,061102,Alvoco das Várzeas,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061100,Oliveira do Hospital,LOCAL-061102,Alvoco das Várzeas,Centro
LOCAL-061103,061103,061103,Avô,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061100,Oliveira do Hospital,LOCAL-061103,Avô,Centro
LOCAL-061104,061104,061104,Bobadela,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061100,Oliveira do Hospital,LOCAL-061104,Bobadela,Centro
LOCAL-061122,061122,061122,Ervedal e Vila Franca da Beira,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061100,Oliveira do Hospital,LOCAL-061122,Ervedal e Vila Franca da Beira,Centro
LOCAL-061106,061106,061106,Lagares,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061100,Oliveira do Hospital,LOCAL-061106,Lagares,Centro
LOCAL-061123,061123,061123,Lagos da Beira e Lajeosa,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061100,Oliveira do Hospital,LOCAL-061123,Lagos da Beira e Lajeosa,Centro
LOCAL-061109,061109,061109,Lourosa,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061100,Oliveira do Hospital,LOCAL-061109,Lourosa,Centro
LOCAL-061110,061110,061110,Meruge,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061100,Oliveira do Hospital,LOCAL-061110,Meruge,Centro
LOCAL-061111,061111,061111,Nogueira do Cravo,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061100,Oliveira do Hospital,LOCAL-061111,Nogueira do Cravo,Centro
LOCAL-061124,061124,061124,Oliveira do Hospital e São Paio de Gramaços,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061100,Oliveira do Hospital,LOCAL-061124,Oliveira do Hospital e São Paio de Gramaços,Centro
LOCAL-061125,061125,061125,Penalva de Alva e São Sebastião da Feira,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061100,Oliveira do Hospital,LOCAL-061125,Penalva de Alva e São Sebastião da Feira,Centro
LOCAL-061126,061126,061126,Santa Ovaia e Vila Pouca da Beira,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061100,Oliveira do Hospital,LOCAL-061126,Santa Ovaia e Vila Pouca da Beira,Centro
LOCAL-061118,061118,061118,Seixo da Beira,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061100,Oliveira do Hospital,LOCAL-061118,Seixo da Beira,Centro
LOCAL-061115,061115,061115,São Gião,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061100,Oliveira do Hospital,LOCAL-061115,São Gião,Centro
LOCAL-061119,061119,061119,Travanca de Lagos,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061100,Oliveira do Hospital,LOCAL-061119,Travanca de Lagos,Centro
LOCAL-061201,061201,061201,Cabril,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061200,Pampilhosa da Serra,LOCAL-061201,Cabril,Centro
LOCAL-061202,061202,061202,Dornelas do Zêzere,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061200,Pampilhosa da Serra,LOCAL-061202,Dornelas do Zêzere,Centro
LOCAL-061211,061211,061211,Fajão-Vidual,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061200,Pampilhosa da Serra,LOCAL-061211,Fajão-Vidual,Centro
LOCAL-061204,061204,061204,Janeiro de Baixo,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061200,Pampilhosa da Serra,LOCAL-061204,Janeiro de Baixo,Centro
LOCAL-061206,061206,061206,Pampilhosa da Serra,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061200,Pampilhosa da Serra,LOCAL-061206,Pampilhosa da Serra,Centro
LOCAL-061207,061207,061207,Pessegueiro,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061200,Pampilhosa da Serra,LOCAL-061207,Pessegueiro,Centro
LOCAL-061212,061212,061212,Portela do Fojo-Machio,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061200,Pampilhosa da Serra,LOCAL-061212,Portela do Fojo-Machio,Centro
LOCAL-061209,061209,061209,Unhais-o-Velho,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061200,Pampilhosa da Serra,LOCAL-061209,Unhais-o-Velho,Centro
LOCAL-061301,061301,061301,Carvalho,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061300,Penacova,LOCAL-061301,Carvalho,Centro
LOCAL-061302,061302,061302,Figueira de Lorvão,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061300,Penacova,LOCAL-061302,Figueira de Lorvão,Centro
LOCAL-061312,061312,061312,Friúmes e Paradela,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061300,Penacova,LOCAL-061312,Friúmes e Paradela,Centro
LOCAL-061304,061304,061304,Lorvão,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061300,Penacova,LOCAL-061304,Lorvão,Centro
LOCAL-061313,061313,061313,Oliveira do Mondego e Travanca do Mondego,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061300,Penacova,LOCAL-061313,Oliveira do Mondego e Travanca do Mondego,Centro
LOCAL-061307,061307,061307,Penacova,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061300,Penacova,LOCAL-061307,Penacova,Centro
LOCAL-061310,061310,061310,Sazes do Lorvão,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061300,Penacova,LOCAL-061310,Sazes do Lorvão,Centro
LOCAL-061314,061314,061314,São Pedro de Alva e São Paio de Mondego,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061300,Penacova,LOCAL-061314,São Pedro de Alva e São Paio de Mondego,Centro
LOCAL-061401,061401,061401,Cumeeira,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061400,Penela,LOCAL-061401,Cumeeira,Centro
LOCAL-061402,061402,061402,Espinhal,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061400,Penela,LOCAL-061402,Espinhal,Centro
LOCAL-061403,061403,061403,Podentes,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061400,Penela,LOCAL-061403,Podentes,Centro
LOCAL-061407,061407,061407,"São Miguel, Santa Eufémia e Rabaçal",freguesia,7,LOCAL-060000,Coimbra,LOCAL-061400,Penela,LOCAL-061407,"São Miguel, Santa Eufémia e Rabaçal",Centro
LOCAL-061501,061501,061501,Alfarelos,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061500,Soure,LOCAL-061501,Alfarelos,Centro
LOCAL-061513,061513,061513,Degracias e Pombalinho,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061500,Soure,LOCAL-061513,Degracias e Pombalinho,Centro
LOCAL-061504,061504,061504,Figueiró do Campo,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061500,Soure,LOCAL-061504,Figueiró do Campo,Centro
LOCAL-061514,061514,061514,Gesteira e Brunhós,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061500,Soure,LOCAL-061514,Gesteira e Brunhós,Centro
LOCAL-061506,061506,061506,Granja do Ulmeiro,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061500,Soure,LOCAL-061506,Granja do Ulmeiro,Centro
LOCAL-061508,061508,061508,Samuel,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061500,Soure,LOCAL-061508,Samuel,Centro
LOCAL-061509,061509,061509,Soure,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061500,Soure,LOCAL-061509,Soure,Centro
LOCAL-061510,061510,061510,Tapéus,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061500,Soure,LOCAL-061510,Tapéus,Centro
LOCAL-061511,061511,061511,Vila Nova de Anços,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061500,Soure,LOCAL-061511,Vila Nova de Anços,Centro
LOCAL-061512,061512,061512,Vinha da Rainha,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061500,Soure,LOCAL-061512,Vinha da Rainha,Centro
LOCAL-061602,061602,061602,Candosa,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061600,Tábua,LOCAL-061602,Candosa,Centro
LOCAL-061603,061603,061603,Carapinha,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061600,Tábua,LOCAL-061603,Carapinha,Centro
LOCAL-061617,061617,061617,Covas e Vila Nova de Oliveirinha,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061600,Tábua,LOCAL-061617,Covas e Vila Nova de Oliveirinha,Centro
LOCAL-061618,061618,061618,Espariz e Sinde,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061600,Tábua,LOCAL-061618,Espariz e Sinde,Centro
LOCAL-061608,061608,061608,Midões,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061600,Tábua,LOCAL-061608,Midões,Centro
LOCAL-061609,061609,061609,Mouronho,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061600,Tábua,LOCAL-061609,Mouronho,Centro
LOCAL-061619,061619,061619,Pinheiro de Coja e Meda de Mouros,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061600,Tábua,LOCAL-061619,Pinheiro de Coja e Meda de Mouros,Centro
LOCAL-061611,061611,061611,Póvoa de Midões,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061600,Tábua,LOCAL-061611,Póvoa de Midões,Centro
LOCAL-061612,061612,061612,São João da Boa Vista,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061600,Tábua,LOCAL-061612,São João da Boa Vista,Centro
LOCAL-061614,061614,061614,Tábua,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061600,Tábua,LOCAL-061614,Tábua,Centro
LOCAL-061616,061616,061616,Ázere e Covelo,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061600,Tábua,LOCAL-061616,Ázere e Covelo,Centro
LOCAL-061701,061701,061701,Arrifana,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061700,Vila Nova de Poiares,LOCAL-061701,Arrifana,Centro
LOCAL-061702,061702,061702,Lavegadas,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061700,Vila Nova de Poiares,LOCAL-061702,Lavegadas,Centro
LOCAL-061703,061703,061703,Poiares (Santo André),freguesia,7,LOCAL-060000,Coimbra,LOCAL-061700,Vila Nova de Poiares,LOCAL-061703,Poiares (Santo André),Centro
LOCAL-061704,061704,061704,São Miguel de Poiares,freguesia,7,LOCAL-060000,Coimbra,LOCAL-061700,Vila Nova de Poiares,LOCAL-061704,São Miguel de Poiares,Centro
LOCAL-080106,080106,080106,Albufeira e Olhos de Água,freguesia,7,LOCAL-080000,Faro,LOCAL-080100,Albufeira,LOCAL-080106,Albufeira e Olhos de Água,Algarve
LOCAL-080104,080104,080104,Ferreiras,freguesia,7,LOCAL-080000,Faro,LOCAL-080100,Albufeira,LOCAL-080104,Ferreiras,Algarve
LOCAL-080102,080102,080102,Guia,freguesia,7,LOCAL-080000,Faro,LOCAL-080100,Albufeira,LOCAL-080102,Guia,Algarve
LOCAL-080103,080103,080103,Paderne,freguesia,7,LOCAL-080000,Faro,LOCAL-080100,Albufeira,LOCAL-080103,Paderne,Algarve
LOCAL-080206,080206,080206,Alcoutim e Pereiro,freguesia,7,LOCAL-080000,Faro,LOCAL-080200,Alcoutim,LOCAL-080206,Alcoutim e Pereiro,Algarve
LOCAL-080202,080202,080202,Giões,freguesia,7,LOCAL-080000,Faro,LOCAL-080200,Alcoutim,LOCAL-080202,Giões,Algarve
LOCAL-080203,080203,080203,Martim Longo,freguesia,7,LOCAL-080000,Faro,LOCAL-080200,Alcoutim,LOCAL-080203,Martim Longo,Algarve
LOCAL-080205,080205,080205,Vaqueiros,freguesia,7,LOCAL-080000,Faro,LOCAL-080200,Alcoutim,LOCAL-080205,Vaqueiros,Algarve
LOCAL-080301,080301,080301,Aljezur,freguesia,7,LOCAL-080000,Faro,LOCAL-080300,Aljezur,LOCAL-080301,Aljezur,Algarve
LOCAL-080302,080302,080302,Bordeira,freguesia,7,LOCAL-080000,Faro,LOCAL-080300,Aljezur,LOCAL-080302,Bordeira,Algarve
LOCAL-080303,080303,080303,Odeceixe,freguesia,7,LOCAL-080000,Faro,LOCAL-080300,Aljezur,LOCAL-080303,Odeceixe,Algarve
LOCAL-080304,080304,080304,Rogil,freguesia,7,LOCAL-080000,Faro,LOCAL-080300,Aljezur,LOCAL-080304,Rogil,Algarve
LOCAL-080404,080404,080404,Altura,freguesia,7,LOCAL-080000,Faro,LOCAL-080400,Castro Marim,LOCAL-080404,Altura,Algarve
LOCAL-080401,080401,080401,Azinhal,freguesia,7,LOCAL-080000,Faro,LOCAL-080400,Castro Marim,LOCAL-080401,Azinhal,Algarve
LOCAL-080402,080402,080402,Castro Marim,freguesia,7,LOCAL-080000,Faro,LOCAL-080400,Castro Marim,LOCAL-080402,Castro Marim,Algarve
LOCAL-080403,080403,080403,Odeleite,freguesia,7,LOCAL-080000,Faro,LOCAL-080400,Castro Marim,LOCAL-080403,Odeleite,Algarve
LOCAL-080507,080507,080507,Conceição e Estoi,freguesia,7,LOCAL-080000,Faro,LOCAL-080500,Faro,LOCAL-080507,Conceição e Estoi,Algarve
LOCAL-080508,080508,080508,Faro (Sé e São Pedro),freguesia,7,LOCAL-080000,Faro,LOCAL-080500,Faro,LOCAL-080508,Faro (Sé e São Pedro),Algarve
LOCAL-080506,080506,080506,Montenegro,freguesia,7,LOCAL-080000,Faro,LOCAL-080500,Faro,LOCAL-080506,Montenegro,Algarve
LOCAL-080503,080503,080503,Santa Bárbara de Nexe,freguesia,7,LOCAL-080000,Faro,LOCAL-080500,Faro,LOCAL-080503,Santa Bárbara de Nexe,Algarve
LOCAL-080607,080607,080607,Estômbar e Parchal,freguesia,7,LOCAL-080000,Faro,LOCAL-080600,Lagoa,LOCAL-080607,Estômbar e Parchal,Algarve
LOCAL-080602,080602,080602,Ferragudo,freguesia,7,LOCAL-080000,Faro,LOCAL-080600,Lagoa,LOCAL-080602,Ferragudo,Algarve
LOCAL-080608,080608,080608,Lagoa e Carvoeiro,freguesia,7,LOCAL-080000,Faro,LOCAL-080600,Lagoa,LOCAL-080608,Lagoa e Carvoeiro,Algarve
LOCAL-080604,080604,080604,Porches,freguesia,7,LOCAL-080000,Faro,LOCAL-080600,Lagoa,LOCAL-080604,Porches,Algarve
LOCAL-080707,080707,080707,Bensafrim e Barão de São João,freguesia,7,LOCAL-080000,Faro,LOCAL-080700,Lagos,LOCAL-080707,Bensafrim e Barão de São João,Algarve
LOCAL-080703,080703,080703,Luz,freguesia,7,LOCAL-080000,Faro,LOCAL-080700,Lagos,LOCAL-080703,Luz,Algarve
LOCAL-080704,080704,080704,Odiáxere,freguesia,7,LOCAL-080000,Faro,LOCAL-080700,Lagos,LOCAL-080704,Odiáxere,Algarve
LOCAL-080708,080708,080708,São Gonçalo de Lagos,freguesia,7,LOCAL-080000,Faro,LOCAL-080700,Lagos,LOCAL-080708,São Gonçalo de Lagos,Algarve
LOCAL-080801,080801,080801,Almancil,freguesia,7,LOCAL-080000,Faro,LOCAL-080800,Loulé,LOCAL-080801,Almancil,Algarve
LOCAL-080802,080802,080802,Alte,freguesia,7,LOCAL-080000,Faro,LOCAL-080800,Loulé,LOCAL-080802,Alte,Algarve
LOCAL-080803,080803,080803,Ameixial,freguesia,7,LOCAL-080000,Faro,LOCAL-080800,Loulé,LOCAL-080803,Ameixial,Algarve
LOCAL-080804,080804,080804,Boliqueime,freguesia,7,LOCAL-080000,Faro,LOCAL-080800,Loulé,LOCAL-080804,Boliqueime,Algarve
LOCAL-080808,080808,080808,Loulé (São Clemente),freguesia,7,LOCAL-080000,Faro,LOCAL-080800,Loulé,LOCAL-080808,Loulé (São Clemente),Algarve
LOCAL-080809,080809,080809,Loulé (São Sebastião),freguesia,7,LOCAL-080000,Faro,LOCAL-080800,Loulé,LOCAL-080809,Loulé (São Sebastião),Algarve
LOCAL-080805,080805,080805,Quarteira,freguesia,7,LOCAL-080000,Faro,LOCAL-080800,Loulé,LOCAL-080805,Quarteira,Algarve
LOCAL-080812,080812,080812,"Querença, Tôr e Benafim",freguesia,7,LOCAL-080000,Faro,LOCAL-080800,Loulé,LOCAL-080812,"Querença, Tôr e Benafim",Algarve
LOCAL-080807,080807,080807,Salir,freguesia,7,LOCAL-080000,Faro,LOCAL-080800,Loulé,LOCAL-080807,Salir,Algarve
LOCAL-080901,080901,080901,Alferce,freguesia,7,LOCAL-080000,Faro,LOCAL-080900,Monchique,LOCAL-080901,Alferce,Algarve
LOCAL-080902,080902,080902,Marmelete,freguesia,7,LOCAL-080000,Faro,LOCAL-080900,Monchique,LOCAL-080902,Marmelete,Algarve
LOCAL-080903,080903,080903,Monchique,freguesia,7,LOCAL-080000,Faro,LOCAL-080900,Monchique,LOCAL-080903,Monchique,Algarve
LOCAL-081006,081006,081006,Moncarapacho e Fuseta,freguesia,7,LOCAL-080000,Faro,LOCAL-081000,Olhão,LOCAL-081006,Moncarapacho e Fuseta,Algarve
LOCAL-081003,081003,081003,Olhão,freguesia,7,LOCAL-080000,Faro,LOCAL-081000,Olhão,LOCAL-081003,Olhão,Algarve
LOCAL-081004,081004,081004,Pechão,freguesia,7,LOCAL-080000,Faro,LOCAL-081000,Olhão,LOCAL-081004,Pechão,Algarve
LOCAL-081005,081005,081005,Quelfes,freguesia,7,LOCAL-080000,Faro,LOCAL-081000,Olhão,LOCAL-081005,Quelfes,Algarve
LOCAL-081101,081101,081101,Alvor,freguesia,7,LOCAL-080000,Faro,LOCAL-081100,Portimão,LOCAL-081101,Alvor,Algarve
