territory_code_full,territory_code_numeric,territory_code_ine,name,level,level_code,district_code,district_name,municipality_code,municipality_name,parish_code,parish_name,region
LOCAL-031400,031400,31400,Vizela,concelho,6,LOCAL-030000,Braga,LOCAL-031400,Vizela,,,Norte
LOCAL-040100,040100,40100,Alfândega da Fé,concelho,6,LOCAL-040000,Bragança,LOCAL-040100,Alfândega da Fé,,,Norte
LOCAL-040200,040200,40200,Bragança,concelho,6,LOCAL-040000,Bragança,LOCAL-040200,Bragança,,,Norte
LOCAL-040300,040300,40300,Carrazeda de Ansiães,concelho,6,LOCAL-040000,Bragança,LOCAL-040300,Carrazeda de Ansiães,,,Norte
LOCAL-040400,040400,40400,Freixo de Espada à Cinta,concelho,6,LOCAL-040000,Bragança,LOCAL-040400,Freixo de Espada à Cinta,,,Norte
LOCAL-040500,040500,40500,Macedo de Cavaleiros,concelho,6,LOCAL-040000,Bragança,LOCAL-040500,Macedo de Cavaleiros,,,Norte
LOCAL-040600,040600,40600,Miranda do Douro,concelho,6,LOCAL-040000,Bragança,LOCAL-040600,Miranda do Douro,,,Norte
LOCAL-040700,040700,40700,Mirandela,concelho,6,LOCAL-040000,Bragança,LOCAL-040700,Mirandela,,,Norte
LOCAL-040800,040800,40800,Mogadouro,concelho,6,LOCAL-040000,Bragança,LOCAL-040800,Mogadouro,,,Norte
LOCAL-040900,040900,40900,Torre de Moncorvo,concelho,6,LOCAL-040000,Bragança,LOCAL-040900,Torre de Moncorvo,,,Norte
LOCAL-041000,041000,41000,Vila Flor,concelho,6,LOCAL-040000,Bragança,LOCAL-041000,Vila Flor,,,Norte
LOCAL-041100,041100,41100,Vimioso,concelho,6,LOCAL-040000,Bragança,LOCAL-041100,Vimioso,,,Norte
LOCAL-041200,041200,41200,Vinhais,concelho,6,LOCAL-040000,Bragança,LOCAL-041200,Vinhais,,,Norte
LOCAL-050100,050100,50100,Belmonte,concelho,6,LOCAL-050000,Castelo Branco,LOCAL-050100,Belmonte,,,Centro
LOCAL-050200,050200,50200,Castelo Branco,concelho,6,LOCAL-050000,Castelo Branco,LOCAL-050200,Castelo Branco,,,Centro
LOCAL-050300,050300,50300,Covilhã,concelho,6,LOCAL-050000,Castelo Branco,LOCAL-050300,Covilhã,,,Centro
LOCAL-050400,050400,50400,Fundão,concelho,6,LOCAL-050000,Castelo Branco,LOCAL-050400,Fundão,,,Centro
