territory_code_full,territory_code_numeric,territory_code_ine,name,level,level_code,parent_code,parent_code_numeric,parent_name,municipality_code,municipality_name,district_code,district_code_numeric,district_name,region
LOCAL-011321,011321,011321,"O. Azeméis, Riba-Ul, Ul, Macinhata Seixa, Madail",freguesia,7,LOCAL-011300,011300,Oliveira de Azeméis,LOCAL-011300,Oliveira de Azeméis,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011310,011310,011310,Ossela,freguesia,7,LOCAL-011300,011300,Oliveira de Azeméis,LOCAL-011300,Oliveira de Azeméis,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011322,011322,011322,"Pinheiro da Bemposta, Travanca e Palmaz",freguesia,7,LOCAL-011300,011300,Oliveira de Azeméis,LOCAL-011300,Oliveira de Azeméis,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011315,011315,011315,São Martinho da Gândara,freguesia,7,LOCAL-011300,011300,Oliveira de Azeméis,LOCAL-011300,Oliveira de Azeméis,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011318,011318,011318,São Roque,freguesia,7,LOCAL-011300,011300,Oliveira de Azeméis,LOCAL-011300,Oliveira de Azeméis,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011319,011319,011319,Vila de Cucujães,freguesia,7,LOCAL-011300,011300,Oliveira de Azeméis,LOCAL-011300,Oliveira de Azeméis,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011407,011407,011407,"Bustos, Troviscal e Mamarrosa",freguesia,7,LOCAL-011400,011400,Oliveira do Bairro,LOCAL-011400,Oliveira do Bairro,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011403,011403,011403,Oiã,freguesia,7,LOCAL-011400,011400,Oliveira do Bairro,LOCAL-011400,Oliveira do Bairro,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011404,011404,011404,Oliveira do Bairro,freguesia,7,LOCAL-011400,011400,Oliveira do Bairro,LOCAL-011400,Oliveira do Bairro,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011405,011405,011405,Palhaça,freguesia,7,LOCAL-011400,011400,Oliveira do Bairro,LOCAL-011400,Oliveira do Bairro,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011502,011502,011502,Cortegaça,freguesia,7,LOCAL-011500,011500,Ovar,LOCAL-011500,Ovar,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011503,011503,011503,Esmoriz,freguesia,7,LOCAL-011500,011500,Ovar,LOCAL-011500,Ovar,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011504,011504,011504,Maceda,freguesia,7,LOCAL-011500,011500,Ovar,LOCAL-011500,Ovar,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011509,011509,011509,"Ovar, S.João, Arada e S.Vicente de Pereira Jusã",freguesia,7,LOCAL-011500,011500,Ovar,LOCAL-011500,Ovar,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011507,011507,011507,Válega,freguesia,7,LOCAL-011500,011500,Ovar,LOCAL-011500,Ovar,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010901,010901,010901,Argoncilhe,freguesia,7,LOCAL-010900,010900,Santa Maria da Feira,LOCAL-010900,Santa Maria da Feira,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010902,010902,010902,Arrifana,freguesia,7,LOCAL-010900,010900,Santa Maria da Feira,LOCAL-010900,Santa Maria da Feira,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010932,010932,010932,Caldas de São Jorge e Pigeiros,freguesia,7,LOCAL-010900,010900,Santa Maria da Feira,LOCAL-010900,Santa Maria da Feira,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010933,010933,010933,"Canedo, Vale e Vila Maior",freguesia,7,LOCAL-010900,010900,Santa Maria da Feira,LOCAL-010900,Santa Maria da Feira,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010904,010904,010904,Escapães,freguesia,7,LOCAL-010900,010900,Santa Maria da Feira,LOCAL-010900,Santa Maria da Feira,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010907,010907,010907,Fiães,freguesia,7,LOCAL-010900,010900,Santa Maria da Feira,LOCAL-010900,Santa Maria da Feira,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010908,010908,010908,Fornos,freguesia,7,LOCAL-010900,010900,Santa Maria da Feira,LOCAL-010900,Santa Maria da Feira,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010934,010934,010934,"Lobão, Gião, Louredo e Guisande",freguesia,7,LOCAL-010900,010900,Santa Maria da Feira,LOCAL-010900,Santa Maria da Feira,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010913,010913,010913,Lourosa,freguesia,7,LOCAL-010900,010900,Santa Maria da Feira,LOCAL-010900,Santa Maria da Feira,LOCAL-010000,010000,Aveiro,Centro
