territory_code_full,territory_code_numeric,territory_code_ine,name,level,level_code,parent_code,parent_code_numeric,parent_name,municipality_code,municipality_name,district_code,district_code_numeric,district_name,region
LOCAL-100304,100304,100304,Chão de Couce,freguesia,7,LOCAL-100300,100300,Ansião,LOCAL-100300,Ansião,LOCAL-100000,100000,Leiria,Centro
LOCAL-100306,100306,100306,Pousaflores,freguesia,7,LOCAL-100300,100300,Ansião,LOCAL-100300,Ansião,LOCAL-100000,100000,Leiria,Centro
LOCAL-100307,100307,100307,Santiago da Guarda,freguesia,7,LOCAL-100300,100300,Ansião,LOCAL-100300,Ansião,LOCAL-100000,100000,Leiria,Centro
LOCAL-100401,100401,100401,Batalha,freguesia,7,LOCAL-100400,100400,Batalha,LOCAL-100400,Batalha,LOCAL-100000,100000,Leiria,Centro
LOCAL-100404,100404,100404,Golpilheira,freguesia,7,LOCAL-100400,100400,Batalha,LOCAL-100400,Batalha,LOCAL-100000,100000,Leiria,Centro
LOCAL-100402,100402,100402,Reguengo do Fetal,freguesia,7,LOCAL-100400,100400,Batalha,LOCAL-100400,Batalha,LOCAL-100000,100000,Leiria,Centro
LOCAL-100403,100403,100403,São Mamede,freguesia,7,LOCAL-100400,100400,Batalha,LOCAL-100400,Batalha,LOCAL-100000,100000,Leiria,Centro
LOCAL-100506,100506,100506,Bombarral e Vale Covo,freguesia,7,LOCAL-100500,100500,Bombarral,LOCAL-100500,Bombarral,LOCAL-100000,100000,Leiria,Centro
LOCAL-100502,100502,100502,Carvalhal,freguesia,7,LOCAL-100500,100500,Bombarral,LOCAL-100500,Bombarral,LOCAL-100000,100000,Leiria,Centro
LOCAL-100505,100505,100505,Pó,freguesia,7,LOCAL-100500,100500,Bombarral,LOCAL-100500,Bombarral,LOCAL-100000,100000,Leiria,Centro
LOCAL-100503,100503,100503,Roliça,freguesia,7,LOCAL-100500,100500,Bombarral,LOCAL-100500,Bombarral,LOCAL-100000,100000,Leiria,Centro
LOCAL-100601,100601,100601,A dos Francos,freguesia,7,LOCAL-100600,100600,Caldas da Rainha,LOCAL-100600,Caldas da Rainha,LOCAL-100000,100000,Leiria,Centro
LOCAL-100602,100602,100602,Alvorninha,freguesia,7,LOCAL-100600,100600,Caldas da Rainha,LOCAL-100600,Caldas da Rainha,LOCAL-100000,100000,Leiria,Centro
LOCAL-100618,100618,100618,Caldas da Rainha - Santo Onofre e Serra do Bouro,freguesia,7,LOCAL-100600,100600,Caldas da Rainha,LOCAL-100600,Caldas da Rainha,LOCAL-100000,100000,Leiria,Centro
LOCAL-100604,100604,100604,Carvalhal Benfeito,freguesia,7,LOCAL-100600,100600,Caldas da Rainha,LOCAL-100600,Caldas da Rainha,LOCAL-100000,100000,Leiria,Centro
LOCAL-100606,100606,100606,Foz do Arelho,freguesia,7,LOCAL-100600,100600,Caldas da Rainha,LOCAL-100600,Caldas da Rainha,LOCAL-100000,100000,Leiria,Centro
LOCAL-100607,100607,100607,Landal,freguesia,7,LOCAL-100600,100600,Caldas da Rainha,LOCAL-100600,Caldas da Rainha,LOCAL-100000,100000,Leiria,Centro
LOCAL-100608,100608,100608,Nadadouro,freguesia,7,LOCAL-100600,100600,Caldas da Rainha,LOCAL-100600,Caldas da Rainha,LOCAL-100000,100000,Leiria,Centro
LOCAL-100617,100617,100617,"Nossa Senhora do Pópulo, Coto e São Gregório",freguesia,7,LOCAL-100600,100600,Caldas da Rainha,LOCAL-100600,Caldas da Rainha,LOCAL-100000,100000,Leiria,Centro
LOCAL-100609,100609,100609,Salir de Matos,freguesia,7,LOCAL-100600,100600,Caldas da Rainha,LOCAL-100600,Caldas da Rainha,LOCAL-100000,100000,Leiria,Centro
LOCAL-100611,100611,100611,Santa Catarina,freguesia,7,LOCAL-100600,100600,Caldas da Rainha,LOCAL-100600,Caldas da Rainha,LOCAL-100000,100000,Leiria,Centro
LOCAL-100619,100619,100619,Tornada e Salir do Porto,freguesia,7,LOCAL-100600,100600,Caldas da Rainha,LOCAL-100600,Caldas da Rainha,LOCAL-100000,100000,Leiria,Centro
LOCAL-100615,100615,100615,Vidais,freguesia,7,LOCAL-100600,100600,Caldas da Rainha,LOCAL-100600,Caldas da Rainha,LOCAL-100000,100000,Leiria,Centro
LOCAL-100703,100703,100703,Castanheira de Pêra e Coentral,freguesia,7,LOCAL-100700,100700,Castanheira de Pêra,LOCAL-100700,Castanheira de Pêra,LOCAL-100000,100000,Leiria,Centro
LOCAL-100801,100801,100801,Aguda,freguesia,7,LOCAL-100800,100800,Figueiró dos Vinhos,LOCAL-100800,Figueiró dos Vinhos,LOCAL-100000,100000,Leiria,Centro
LOCAL-100802,100802,100802,Arega,freguesia,7,LOCAL-100800,100800,Figueiró dos Vinhos,LOCAL-100800,Figueiró dos Vinhos,LOCAL-100000,100000,Leiria,Centro
LOCAL-100803,100803,100803,Campelo,freguesia,7,LOCAL-100800,100800,Figueiró dos Vinhos,LOCAL-100800,Figueiró dos Vinhos,LOCAL-100000,100000,Leiria,Centro
LOCAL-100806,100806,100806,Figueiró dos Vinhos e Bairradas,freguesia,7,LOCAL-100800,100800,Figueiró dos Vinhos,LOCAL-100800,Figueiró dos Vinhos,LOCAL-100000,100000,Leiria,Centro
LOCAL-100901,100901,100901,Amor,freguesia,7,LOCAL-100900,100900,Leiria,LOCAL-100900,Leiria,LOCAL-100000,100000,Leiria,Centro
LOCAL-100902,100902,100902,Arrabal,freguesia,7,LOCAL-100900,100900,Leiria,LOCAL-100900,Leiria,LOCAL-100000,100000,Leiria,Centro
LOCAL-100925,100925,100925,Bajouca,freguesia,7,LOCAL-100900,100900,Leiria,LOCAL-100900,Leiria,LOCAL-100000,100000,Leiria,Centro
LOCAL-100926,100926,100926,Bidoeira de Cima,freguesia,7,LOCAL-100900,100900,Leiria,LOCAL-100900,Leiria,LOCAL-100000,100000,Leiria,Centro
LOCAL-100907,100907,100907,Caranguejeira,freguesia,7,LOCAL-100900,100900,Leiria,LOCAL-100900,Leiria,LOCAL-100000,100000,Leiria,Centro
LOCAL-100909,100909,100909,Coimbrão,freguesia,7,LOCAL-100900,100900,Leiria,LOCAL-100900,Leiria,LOCAL-100000,100000,Leiria,Centro
LOCAL-100932,100932,100932,Colmeias e Memória,freguesia,7,LOCAL-100900,100900,Leiria,LOCAL-100900,Leiria,LOCAL-100000,100000,Leiria,Centro
LOCAL-100933,100933,100933,"Leiria, Pousos, Barreira e Cortes",freguesia,7,LOCAL-100900,100900,Leiria,LOCAL-100900,Leiria,LOCAL-100000,100000,Leiria,Centro
LOCAL-100913,100913,100913,Maceira,freguesia,7,LOCAL-100900,100900,Leiria,LOCAL-100900,Leiria,LOCAL-100000,100000,Leiria,Centro
LOCAL-100934,100934,100934,Marrazes e Barosa,freguesia,7,LOCAL-100900,100900,Leiria,LOCAL-100900,Leiria,LOCAL-100000,100000,Leiria,Centro
LOCAL-100915,100915,100915,Milagres,freguesia,7,LOCAL-100900,100900,Leiria,LOCAL-100900,Leiria,LOCAL-100000,100000,Leiria,Centro
LOCAL-100935,100935,100935,Monte Real e Carvide,freguesia,7,LOCAL-100900,100900,Leiria,LOCAL-100900,Leiria,LOCAL-100000,100000,Leiria,Centro
LOCAL-100936,100936,100936,Monte Redondo e Carreira,freguesia,7,LOCAL-100900,100900,Leiria,LOCAL-100900,Leiria,LOCAL-100000,100000,Leiria,Centro
LOCAL-100937,100937,100937,Parceiros e Azoia,freguesia,7,LOCAL-100900,100900,Leiria,LOCAL-100900,Leiria,LOCAL-100000,100000,Leiria,Centro
LOCAL-100921,100921,100921,Regueira de Pontes,freguesia,7,LOCAL-100900,100900,Leiria,LOCAL-100900,Leiria,LOCAL-100000,100000,Leiria,Centro
LOCAL-100938,100938,100938,Santa Catarina da Serra e Chainça,freguesia,7,LOCAL-100900,100900,Leiria,LOCAL-100900,Leiria,LOCAL-100000,100000,Leiria,Centro
LOCAL-100939,100939,100939,Santa Eufémia e Boa Vista,freguesia,7,LOCAL-100900,100900,Leiria,LOCAL-100900,Leiria,LOCAL-100000,100000,Leiria,Centro
LOCAL-100940,100940,100940,Souto da Carpalhosa e Ortigosa,freguesia,7,LOCAL-100900,100900,Leiria,LOCAL-100900,Leiria,LOCAL-100000,100000,Leiria,Centro
LOCAL-101001,101001,101001,Marinha Grande,freguesia,7,LOCAL-101000,101000,Marinha Grande,LOCAL-101000,Marinha Grande,LOCAL-100000,100000,Leiria,Centro
LOCAL-101003,101003,101003,Moita,freguesia,7,LOCAL-101000,101000,Marinha Grande,LOCAL-101000,Marinha Grande,LOCAL-100000,100000,Leiria,Centro
LOCAL-101002,101002,101002,Vieira de Leiria,freguesia,7,LOCAL-101000,101000,Marinha Grande,LOCAL-101000,Marinha Grande,LOCAL-100000,100000,Leiria,Centro
LOCAL-101101,101101,101101,Famalicão,freguesia,7,LOCAL-101100,101100,Nazaré,LOCAL-101100,Nazaré,LOCAL-100000,100000,Leiria,Centro
LOCAL-101102,101102,101102,Nazaré,freguesia,7,LOCAL-101100,101100,Nazaré,LOCAL-101100,Nazaré,LOCAL-100000,100000,Leiria,Centro
LOCAL-101103,101103,101103,Valado dos Frades,freguesia,7,LOCAL-101100,101100,Nazaré,LOCAL-101100,Nazaré,LOCAL-100000,100000,Leiria,Centro
LOCAL-101301,101301,101301,Graça,freguesia,7,LOCAL-101300,101300,Pedrógão Grande,LOCAL-101300,Pedrógão Grande,LOCAL-100000,100000,Leiria,Centro
LOCAL-101302,101302,101302,Pedrógão Grande,freguesia,7,LOCAL-101300,101300,Pedrógão Grande,LOCAL-101300,Pedrógão Grande,LOCAL-100000,100000,Leiria,Centro
LOCAL-101303,101303,101303,Vila Facaia,freguesia,7,LOCAL-101300,101300,Pedrógão Grande,LOCAL-101300,Pedrógão Grande,LOCAL-100000,100000,Leiria,Centro
LOCAL-101402,101402,101402,Atouguia da Baleia,freguesia,7,LOCAL-101400,101400,Peniche,LOCAL-101400,Peniche,LOCAL-100000,100000,Leiria,Centro
LOCAL-101406,101406,101406,Ferrel,freguesia,7,LOCAL-101400,101400,Peniche,LOCAL-101400,Peniche,LOCAL-100000,100000,Leiria,Centro
LOCAL-101407,101407,101407,Peniche,freguesia,7,LOCAL-101400,101400,Peniche,LOCAL-101400,Peniche,LOCAL-100000,100000,Leiria,Centro
LOCAL-101405,101405,101405,Serra d'El-Rei,freguesia,7,LOCAL-101400,101400,Peniche,LOCAL-101400,Peniche,LOCAL-100000,100000,Leiria,Centro
LOCAL-101501,101501,101501,Abiul,freguesia,7,LOCAL-101500,101500,Pombal,LOCAL-101500,Pombal,LOCAL-100000,100000,Leiria,Centro
LOCAL-101503,101503,101503,Almagreira,freguesia,7,LOCAL-101500,101500,Pombal,LOCAL-101500,Pombal,LOCAL-100000,100000,Leiria,Centro
LOCAL-101504,101504,101504,Carnide,freguesia,7,LOCAL-101500,101500,Pombal,LOCAL-101500,Pombal,LOCAL-100000,100000,Leiria,Centro
LOCAL-101505,101505,101505,Carriço,freguesia,7,LOCAL-101500,101500,Pombal,LOCAL-101500,Pombal,LOCAL-100000,100000,Leiria,Centro
LOCAL-101518,101518,101518,"Guia, Ilha e Mata Mourisca",freguesia,7,LOCAL-101500,101500,Pombal,LOCAL-101500,Pombal,LOCAL-100000,100000,Leiria,Centro
LOCAL-101506,101506,101506,Louriçal,freguesia,7,LOCAL-101500,101500,Pombal,LOCAL-101500,Pombal,LOCAL-100000,100000,Leiria,Centro
LOCAL-101515,101515,101515,Meirinhas,freguesia,7,LOCAL-101500,101500,Pombal,LOCAL-101500,Pombal,LOCAL-100000,100000,Leiria,Centro
LOCAL-101508,101508,101508,Pelariga,freguesia,7,LOCAL-101500,101500,Pombal,LOCAL-101500,Pombal,LOCAL-100000,100000,Leiria,Centro
LOCAL-101509,101509,101509,Pombal,freguesia,7,LOCAL-101500,101500,Pombal,LOCAL-101500,Pombal,LOCAL-100000,100000,Leiria,Centro
LOCAL-101510,101510,101510,Redinha,freguesia,7,LOCAL-101500,101500,Pombal,LOCAL-101500,Pombal,LOCAL-100000,100000,Leiria,Centro
LOCAL-101519,101519,101519,Santiago e S.Simão de Litém e Albergaria dos Doze,freguesia,7,LOCAL-101500,101500,Pombal,LOCAL-101500,Pombal,LOCAL-100000,100000,Leiria,Centro
LOCAL-101513,101513,101513,Vermoil,freguesia,7,LOCAL-101500,101500,Pombal,LOCAL-101500,Pombal,LOCAL-100000,100000,Leiria,Centro
LOCAL-101514,101514,101514,Vila Cã,freguesia,7,LOCAL-101500,101500,Pombal,LOCAL-101500,Pombal,LOCAL-100000,100000,Leiria,Centro
LOCAL-101602,101602,101602,Alqueidão da Serra,freguesia,7,LOCAL-101600,101600,Porto de Mós,LOCAL-101600,Porto de Mós,LOCAL-100000,100000,Leiria,Centro
LOCAL-101615,101615,101615,Alvados e Alcaria,freguesia,7,LOCAL-101600,101600,Porto de Mós,LOCAL-101600,Porto de Mós,LOCAL-100000,100000,Leiria,Centro
LOCAL-101616,101616,101616,Arrimal e Mendiga,freguesia,7,LOCAL-101600,101600,Porto de Mós,LOCAL-101600,Porto de Mós,LOCAL-100000,100000,Leiria,Centro
LOCAL-101605,101605,101605,Calvaria de Cima,freguesia,7,LOCAL-101600,101600,Porto de Mós,LOCAL-101600,Porto de Mós,LOCAL-100000,100000,Leiria,Centro
LOCAL-101606,101606,101606,Juncal,freguesia,7,LOCAL-101600,101600,Porto de Mós,LOCAL-101600,Porto de Mós,LOCAL-100000,100000,Leiria,Centro
LOCAL-101608,101608,101608,Mira de Aire,freguesia,7,LOCAL-101600,101600,Porto de Mós,LOCAL-101600,Porto de Mós,LOCAL-100000,100000,Leiria,Centro
LOCAL-101609,101609,101609,Pedreiras,freguesia,7,LOCAL-101600,101600,Porto de Mós,LOCAL-101600,Porto de Mós,LOCAL-100000,100000,Leiria,Centro
LOCAL-101614,101614,101614,Porto de Mós - São João Baptista e São Pedro,freguesia,7,LOCAL-101600,101600,Porto de Mós,LOCAL-101600,Porto de Mós,LOCAL-100000,100000,Leiria,Centro
LOCAL-101613,101613,101613,Serro Ventoso,freguesia,7,LOCAL-101600,101600,Porto de Mós,LOCAL-101600,Porto de Mós,LOCAL-100000,100000,Leiria,Centro
LOCAL-101610,101610,101610,São Bento,freguesia,7,LOCAL-101600,101600,Porto de Mós,LOCAL-101600,Porto de Mós,LOCAL-100000,100000,Leiria,Centro
LOCAL-101201,101201,101201,A dos Negros,freguesia,7,LOCAL-101200,101200,Óbidos,LOCAL-101200,Óbidos,LOCAL-100000,100000,Leiria,Centro
LOCAL-101202,101202,101202,Amoreira,freguesia,7,LOCAL-101200,101200,Óbidos,LOCAL-101200,Óbidos,LOCAL-100000,100000,Leiria,Centro
LOCAL-101208,101208,101208,Gaeiras,freguesia,7,LOCAL-101200,101200,Óbidos,LOCAL-101200,Óbidos,LOCAL-100000,100000,Leiria,Centro
LOCAL-101203,101203,101203,Olho Marinho,freguesia,7,LOCAL-101200,101200,Óbidos,LOCAL-101200,Óbidos,LOCAL-100000,100000,Leiria,Centro
LOCAL-101210,101210,101210,"Santa Maria, São Pedro e Sobral da Lagoa",freguesia,7,LOCAL-101200,101200,Óbidos,LOCAL-101200,Óbidos,LOCAL-100000,100000,Leiria,Centro
LOCAL-101209,101209,101209,Usseira,freguesia,7,LOCAL-101200,101200,Óbidos,LOCAL-101200,Óbidos,LOCAL-100000,100000,Leiria,Centro
LOCAL-101207,101207,101207,Vau,freguesia,7,LOCAL-101200,101200,Óbidos,LOCAL-101200,Óbidos,LOCAL-100000,100000,Leiria,Centro
LOCAL-110117,110117,110117,Abrigada e Cabanas de Torres,freguesia,7,LOCAL-110100,110100,Alenquer,LOCAL-110100,Alenquer,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110118,110118,110118,Aldeia Galega da Merceana e Aldeia Gavinha,freguesia,7,LOCAL-110100,110100,Alenquer,LOCAL-110100,Alenquer,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110119,110119,110119,Alenquer (Santo Estêvão e Triana),freguesia,7,LOCAL-110100,110100,Alenquer,LOCAL-110100,Alenquer,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110106,110106,110106,Carnota,freguesia,7,LOCAL-110100,110100,Alenquer,LOCAL-110100,Alenquer,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110120,110120,110120,Carregado e Cadafais,freguesia,7,LOCAL-110100,110100,Alenquer,LOCAL-110100,Alenquer,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110107,110107,110107,Meca,freguesia,7,LOCAL-110100,110100,Alenquer,LOCAL-110100,Alenquer,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110108,110108,110108,Olhalvo,freguesia,7,LOCAL-110100,110100,Alenquer,LOCAL-110100,Alenquer,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110109,110109,110109,Ota,freguesia,7,LOCAL-110100,110100,Alenquer,LOCAL-110100,Alenquer,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110121,110121,110121,Ribafria e Pereiro de Palhacana,freguesia,7,LOCAL-110100,110100,Alenquer,LOCAL-110100,Alenquer,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110113,110113,110113,Ventosa,freguesia,7,LOCAL-110100,110100,Alenquer,LOCAL-110100,Alenquer,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110114,110114,110114,Vila Verde dos Francos,freguesia,7,LOCAL-110100,110100,Alenquer,LOCAL-110100,Alenquer,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-111512,111512,111512,Alfragide,freguesia,7,LOCAL-111500,111500,Amadora,LOCAL-111500,Amadora,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-111514,111514,111514,Encosta do Sol,freguesia,7,LOCAL-111500,111500,Amadora,LOCAL-111500,Amadora,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-111515,111515,111515,Falagueira-Venda Nova,freguesia,7,LOCAL-111500,111500,Amadora,LOCAL-111500,Amadora,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-111516,111516,111516,Mina de Água,freguesia,7,LOCAL-111500,111500,Amadora,LOCAL-111500,Amadora,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-111517,111517,111517,Venteira,freguesia,7,LOCAL-111500,111500,Amadora,LOCAL-111500,Amadora,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-111513,111513,111513,Águas Livres,freguesia,7,LOCAL-111500,111500,Amadora,LOCAL-111500,Amadora,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110201,110201,110201,Arranhó,freguesia,7,LOCAL-110200,110200,Arruda dos Vinhos,LOCAL-110200,Arruda dos Vinhos,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110202,110202,110202,Arruda dos Vinhos,freguesia,7,LOCAL-110200,110200,Arruda dos Vinhos,LOCAL-110200,Arruda dos Vinhos,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110203,110203,110203,Cardosas,freguesia,7,LOCAL-110200,110200,Arruda dos Vinhos,LOCAL-110200,Arruda dos Vinhos,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110204,110204,110204,São Tiago dos Velhos,freguesia,7,LOCAL-110200,110200,Arruda dos Vinhos,LOCAL-110200,Arruda dos Vinhos,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110301,110301,110301,Alcoentre,freguesia,7,LOCAL-110300,110300,Azambuja,LOCAL-110300,Azambuja,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110302,110302,110302,Aveiras de Baixo,freguesia,7,LOCAL-110300,110300,Azambuja,LOCAL-110300,Azambuja,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110303,110303,110303,Aveiras de Cima,freguesia,7,LOCAL-110300,110300,Azambuja,LOCAL-110300,Azambuja,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110304,110304,110304,Azambuja,freguesia,7,LOCAL-110300,110300,Azambuja,LOCAL-110300,Azambuja,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110310,110310,110310,"Manique do Intendente, V.N.de S.Pedro e Maçussa",freguesia,7,LOCAL-110300,110300,Azambuja,LOCAL-110300,Azambuja,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110306,110306,110306,Vale do Paraíso,freguesia,7,LOCAL-110300,110300,Azambuja,LOCAL-110300,Azambuja,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110307,110307,110307,Vila Nova da Rainha,freguesia,7,LOCAL-110300,110300,Azambuja,LOCAL-110300,Azambuja,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110401,110401,110401,Alguber,freguesia,7,LOCAL-110400,110400,Cadaval,LOCAL-110400,Cadaval,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110411,110411,110411,Cadaval e Pêro Moniz,freguesia,7,LOCAL-110400,110400,Cadaval,LOCAL-110400,Cadaval,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110412,110412,110412,Lamas e Cercal,freguesia,7,LOCAL-110400,110400,Cadaval,LOCAL-110400,Cadaval,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110413,110413,110413,Painho e Figueiros,freguesia,7,LOCAL-110400,110400,Cadaval,LOCAL-110400,Cadaval,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110407,110407,110407,Peral,freguesia,7,LOCAL-110400,110400,Cadaval,LOCAL-110400,Cadaval,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110409,110409,110409,Vermelha,freguesia,7,LOCAL-110400,110400,Cadaval,LOCAL-110400,Cadaval,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110410,110410,110410,Vilar,freguesia,7,LOCAL-110400,110400,Cadaval,LOCAL-110400,Cadaval,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110501,110501,110501,Alcabideche,freguesia,7,LOCAL-110500,110500,Cascais,LOCAL-110500,Cascais,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110507,110507,110507,Carcavelos e Parede,freguesia,7,LOCAL-110500,110500,Cascais,LOCAL-110500,Cascais,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110508,110508,110508,Cascais e Estoril,freguesia,7,LOCAL-110500,110500,Cascais,LOCAL-110500,Cascais,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110506,110506,110506,São Domingos de Rana,freguesia,7,LOCAL-110500,110500,Cascais,LOCAL-110500,Cascais,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110601,110601,110601,Ajuda,freguesia,7,LOCAL-110600,110600,Lisboa,LOCAL-110600,Lisboa,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110602,110602,110602,Alcântara,freguesia,7,LOCAL-110600,110600,Lisboa,LOCAL-110600,Lisboa,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110654,110654,110654,Alvalade,freguesia,7,LOCAL-110600,110600,Lisboa,LOCAL-110600,Lisboa,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110655,110655,110655,Areeiro,freguesia,7,LOCAL-110600,110600,Lisboa,LOCAL-110600,Lisboa,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110656,110656,110656,Arroios,freguesia,7,LOCAL-110600,110600,Lisboa,LOCAL-110600,Lisboa,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110657,110657,110657,Avenidas Novas,freguesia,7,LOCAL-110600,110600,Lisboa,LOCAL-110600,Lisboa,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110607,110607,110607,Beato,freguesia,7,LOCAL-110600,110600,Lisboa,LOCAL-110600,Lisboa,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110658,110658,110658,Belém,freguesia,7,LOCAL-110600,110600,Lisboa,LOCAL-110600,Lisboa,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110608,110608,110608,Benfica,freguesia,7,LOCAL-110600,110600,Lisboa,LOCAL-110600,Lisboa,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110659,110659,110659,Campo de Ourique,freguesia,7,LOCAL-110600,110600,Lisboa,LOCAL-110600,Lisboa,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110610,110610,110610,Campolide,freguesia,7,LOCAL-110600,110600,Lisboa,LOCAL-110600,Lisboa,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110611,110611,110611,Carnide,freguesia,7,LOCAL-110600,110600,Lisboa,LOCAL-110600,Lisboa,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110660,110660,110660,Estrela,freguesia,7,LOCAL-110600,110600,Lisboa,LOCAL-110600,Lisboa,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110618,110618,110618,Lumiar,freguesia,7,LOCAL-110600,110600,Lisboa,LOCAL-110600,Lisboa,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110621,110621,110621,Marvila,freguesia,7,LOCAL-110600,110600,Lisboa,LOCAL-110600,Lisboa,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110661,110661,110661,Misericórdia,freguesia,7,LOCAL-110600,110600,Lisboa,LOCAL-110600,Lisboa,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110633,110633,110633,Olivais,freguesia,7,LOCAL-110600,110600,Lisboa,LOCAL-110600,Lisboa,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110662,110662,110662,Parque das Nações,freguesia,7,LOCAL-110600,110600,Lisboa,LOCAL-110600,Lisboa,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110663,110663,110663,Penha de França,freguesia,7,LOCAL-110600,110600,Lisboa,LOCAL-110600,Lisboa,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110664,110664,110664,Santa Clara,freguesia,7,LOCAL-110600,110600,Lisboa,LOCAL-110600,Lisboa,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110665,110665,110665,Santa Maria Maior,freguesia,7,LOCAL-110600,110600,Lisboa,LOCAL-110600,Lisboa,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110666,110666,110666,Santo António,freguesia,7,LOCAL-110600,110600,Lisboa,LOCAL-110600,Lisboa,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110639,110639,110639,São Domingos de Benfica,freguesia,7,LOCAL-110600,110600,Lisboa,LOCAL-110600,Lisboa,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110667,110667,110667,São Vicente,freguesia,7,LOCAL-110600,110600,Lisboa,LOCAL-110600,Lisboa,LOCAL-110000,110000,Lisboa,Área Metropolitana de Lisboa
